,en,ru,tr,vi,es,pt,it,id,fr,de,ar,zh,hi,ko,ja
153,ONE-TIME PAYMENT/8,ЕДИНОРАЗОВЫЙ ПЛАТЕЖ/8,TEK SEFERLİK ÖDEME/8,THANH TOÁN MỘT LẦN/8,PAGO ÚNICO/8,PAGAMENTO ÚNICO/8,PAGAMENTO UNICO/8,PEMBAYARAN SATU KALI/8,PAIEMENT UNIQUE/8,EINMALZAHLUNG/8,دفعة لمرة واحدة/8,一次性付款/8,एक बार का भुगतान/8,일회성 지불/8,1回限りの支払い/8
154,7 DAYS/24,7 ДНЕЙ/24,7 GÜN/24,7 NGÀY/24,7 DÍAS/24,7 DIAS/24,7 GIORNI/22,7 HARI/22,7 JOURS/22,7 TAGE/22,7 أيام/24,7天/24,7 दिन/24,7 일/24,7 日/24
155,30 DAYS/24,30 ДНЕЙ/24,30 GÜN/24,30 NGÀY/24,30 DÍAS/24,30 DIAS/24,30 GIORNI/22,30 HARI/22,30 JOURS/22,30 TAGE/22,30 يومًا/24,30天/24,30 दिन/24,30 일/24,30日/24
156,90 DAYS/24,90 ДНЕЙ/24,90 GÜN/24,90 NGÀY/24,90 DÍAS/24,90 DIAS/24,90 GIORNI/22,90 HARI/22,90 JOURS/22,90 TAGE/22,90 يومًا/24,90天/24,90 दिन/24,90 일/24,90日/24
157,1 YEAR/24,1 ГОД/24,1 YIL/24,1 NĂM/24,1 AÑO/24,1 ANO/24,1 ANNO/22,1 TAHUN/22,1 AN/22,1 JAHR/22,1 سنة/24,1年/24,1 वर्ष/24,1 년/24,1年/24
158,FOREVER/22,НАВСЕГДА/20,SONSUZA DEK/18,MÃI MÃI/22,PARA SIEMPRE/18,PARA SEMPRE/18,PER SEMPRE/18,SELAMANYA/20,POUR TOUJOURS/16,FÜR IMMER/20,إلى الأبد/22,永远/22,हमेशा के लिए/22,영원히/22,永遠に/22
159,Unlocking all/categories/9,Открытие всех/категорий/9,Tüm kategorilerin/açma/9,Mở khóa tất cả/các danh mục/9,Desbloqueo/todas categorías/9,Desbloqueando/todos categorias/9,Sbloccare tutte/categorie/9,Membuka/semua kategori/9,Débloquer des/catégories/9,Kategorien/freischalten/9,فتح جميع/الفئات/9,解锁所/有类别/9,सभी श्रेणियों को/अनलॉक करना/9,모든 범주/잠금 해제/9,すべてのカテゴリ/のロックを解除/9
160,Image/search/9,Поиск/изображений/9,Görsel/arama/9,Tìm kiếm/hình ảnh/9,Imagen/búsqueda/9,Pesquisa de/imagens/9,Ricerca/immagini/9,Pencarian/gambar/9,Recherche/d'images/9,Bild/suche/9,الصورة/البحث/9,图片/搜索/9,इमेज/सर्च/9,이미지/검색/9,画像検索//9
161,Maximal/difficulty/9,Максимальная/сложность/9,Maksimum/zorluk/9,Độ khó/tối đa/9,Máximo/dificultad/9,Dificuldade/máxima/9,Difficoltà/massima/9,Kesulitan/maksimal/9,Difficulté/maximale/9,Maximale/Schwierigkeit/9,الحد الأقصى/الصعوبة/9,最大/难度/9,अधिकतम/कठिनाई/9,최대/난이도/9,最大難易度//9
162,Removing/ads/9,Отключение/рекламы/9,Reklamları/kaldırmak/9,Xóa/Quảng cáo/9,Eliminar/anuncios/9,Removendo/anúncios/9,Rimozione/annunci/9,Hilangkan/iklan/9,Suppression des/publicités/9,Anzeigen/entfernen/9,إزالة/إعلانات/9,去除/广告/9,विज्ञापन/हटाना/9,광고/제거/9,広告を取り/除く/9
163,Premium/backgrounds/9,Премиальные/фоны/9,Prim arka/planlar/9,Hình nền/cao cấp/9,Premium/fondos/9,Planos fundo/premium/9,Sfondi/premium/9,Latar belakang/premium/9,Arrière-plans/premium/9,Premium/Hintergründe/9,قسط/خلفيات/9,优质/背景/9,प्रीमियम/पृष्ठभूमि/9,프리미엄/배경/9,プレミアム/背景/9
164,2 daily/gifts/9,2 ежедневных/подарка/9,2 adet günlük/hediye/9,2 hàng ngày/quà tặng/9,2 regalos/diarios/9,2 presentes/diários/9,2 regali/giornalieri/9,2 hadiah/harian/9,2 cadeaux/quotidiens/9,2 tägliche/Geschenke/9,2 يوميا/الهدايا/9,2个每日/礼物/9,2 दैनिक/उपहार/9,2 일일/선물/9,2 デイリ/ーギフト/9
165,Active/16,Активно/16,Aktif/16,Đang hoạt động/14,Activo/16,Ativo/16,Attivo/16,Aktif/16,Actif/16,Aktiv/16,نشط/16,活跃/16,सक्रिय/16,활성/16,積極的に/16
166,until /12,до /12,değin /12,Cho đến /12,hasta /12,até /12,fino a /12,sampai /12,jusqu'au /12,bis /12,حتى /12,直到 /12,तक /12,까지 /12,なるまで /12
167," days trial, then / every 7 days. The subscription can be canceled at any time. After cancellation, VIP status valid until the end of the paid period/11"," дня бесплатно, затем / каждые 7 дней. Подписку можно отменить в любой момент. После отмены, VIP-статус действовует до окончания оплаченного периода/11"," günlük deneme, ardından her 7 günde bir / tahsil edilecektir. Abonelik her an iptal edilebilir. İptal sonrası VIP statüsü ücretli sürenin sonuna kadar geçerlidir/11"," ngày dùng thử, sau đó / cứ sau 7 ngày. Việc đăng ký có thể bị hủy bỏ bất cứ lúc nào. Sau khi hủy, trạng thái VIP có hiệu lực cho đến khi kết thúc thời gian thanh toán/11"," días de prueba, luego / cada 7 días. La suscripción se puede cancelar en cualquier momento. Después de la cancelación, el estado VIP es válido hasta el final del período pagado/11"," dias de teste, então / a cada 7 dias. A assinatura pode ser cancelada a qualquer momento. Após cancelamento, status VIP válido até o final do período pago/11"," giorni di prova, poi / ogni 7 giorni. L'abbonamento può essere annullato in qualsiasi momento. Dopo la cancellazione, stato VIP valido fino alla fine del periodo pagato/11"," hari uji coba, lalu / setiap 7 hari. Langganan dapat dibatalkan kapan saja. Setelah pembatalan, status VIP berlaku hingga akhir periode pembayaran/11"," jours d'essai, puis / tous les 7 jours. L'abonnement peut être résilié à tout moment. Après annulation, statut VIP valable jusqu'à la fin de la période payée/11"," Tage testen, dann / alle 7 Tage. Das Abonnement kann jederzeit gekündigt werden. Nach Abmeldung VIP-Status gültig bis Ende des bezahlten Zeitraums/11", أيام للمحاكمة ، ثم / كل 7 أيام. يمكن إلغاء الاشتراك في أي وقت. بعد الإلغاء ، تكون حالة VIP صالحة حتى نهاية الفترة المدفوعة /11, 天 试用，然后每 7 天 / 。 订阅可以随时取消。 取消后，VIP身份有效期至付费期结束/11," दिन का ट्रायल, फिर हर 7 दिन में / । सदस्यता किसी भी समय रद्द की जा सकती है। रद्दीकरण के बाद, वीआईपी स्थिति भुगतान अवधि के अंत तक मान्य/11", 일 체험 후 7일마다 / 구독은 언제든지 취소할 수 있습니다. 취소 후 VIP 등급은 유료 기간 종료 시까지 유효합니다/11,日間のトライアル、その後 / 7 日ごと。 サブスクリプションはいつでもキャンセルできます。 解約後、有償期間終了までVIPステータス有効/11
168," days trial, then / every 30 days. The subscription can be canceled at any time. After cancellation, VIP status valid until the end of the paid period/11"," дня бесплатно, затем / каждые 30 дней. Подписку можно отменить в любой момент. После отмены, VIP-статус действовует до окончания оплаченного периода/11","günlük deneme, ardından her 30 günde bir / tahsil edilecektir. Abonelik her an iptal edilebilir. İptal sonrası VIP statüsü ücretli sürenin sonuna kadar geçerlidir/11"," ngày dùng thử, sau đó / cứ sau 30 ngày. Việc đăng ký có thể bị hủy bỏ bất cứ lúc nào. Sau khi hủy, trạng thái VIP có hiệu lực cho đến khi kết thúc thời gian thanh toán/11"," días de prueba, luego / cada 30 días. La suscripción se puede cancelar en cualquier momento. Después de la cancelación, el estado VIP es válido hasta el final del período pagado/11"," dias de teste, então / a cada 30 dias. A assinatura pode ser cancelada a qualquer momento. Após cancelamento, status VIP válido até o final do período pago/11"," giorni di prova, poi / ogni 30 giorni. L'abbonamento può essere annullato in qualsiasi momento. Dopo la cancellazione, stato VIP valido fino alla fine del periodo pagato/11"," hari uji coba, lalu / setiap 30 hari. Langganan dapat dibatalkan kapan saja. Setelah pembatalan, status VIP berlaku hingga akhir periode pembayaran/11"," jours d'essai, puis / tous les 30 jours. L'abonnement peut être résilié à tout moment. Après annulation, statut VIP valable jusqu'à la fin de la période payée/11"," Tage testen, dann / alle 30 Tage. Das Abonnement kann jederzeit gekündigt werden. Nach Abmeldung VIP-Status gültig bis Ende des bezahlten Zeitraums/11", أيام للمحاكمة ، ثم / كل 30 أيام. يمكن إلغاء الاشتراك في أي وقت. بعد الإلغاء ، تكون حالة VIP صالحة حتى نهاية الفترة المدفوعة /11, 天 试用，然后每 30 天 / 。 订阅可以随时取消。 取消后，VIP身份有效期至付费期结束/11," दिन का ट्रायल, फिर हर 30 दिन में / । सदस्यता किसी भी समय रद्द की जा सकती है। रद्दीकरण के बाद, वीआईपी स्थिति भुगतान अवधि के अंत तक मान्य/11", 일 체험 후 30일마다 / 구독은 언제든지 취소할 수 있습니다. 취소 후 VIP 등급은 유료 기간 종료 시까지 유효합니다/11,日間のトライアル、その後 / 30 日ごと。 サブスクリプションはいつでもキャンセルできます。 解約後、有償期間終了までVIPステータス有効/11
169," days trial, then / every 365 days. The subscription can be canceled at any time. After cancellation, VIP status valid until the end of the paid period/11"," дня бесплатно, затем / каждые 365 дней. Подписку можно отменить в любой момент. После отмены, VIP-статус действовует до окончания оплаченного периода/11"," günlük deneme, ardından her 365 günde bir / tahsil edilecektir. Abonelik her an iptal edilebilir. İptal sonrası VIP statüsü ücretli sürenin sonuna kadar geçerlidir/11"," ngày dùng thử, sau đó / cứ sau 365 ngày. Việc đăng ký có thể bị hủy bỏ bất cứ lúc nào. Sau khi hủy, trạng thái VIP có hiệu lực cho đến khi kết thúc thời gian thanh toán/11"," días de prueba, luego / cada 365 días. La suscripción se puede cancelar en cualquier momento. Después de la cancelación, el estado VIP es válido hasta el final del período pagado/11"," dias de teste, então / a cada 365 dias. A assinatura pode ser cancelada a qualquer momento. Após cancelamento, status VIP válido até o final do período pago/11"," giorni di prova, poi / ogni 365 giorni. L'abbonamento può essere annullato in qualsiasi momento. Dopo la cancellazione, stato VIP valido fino alla fine del periodo pagato/11"," hari uji coba, lalu / setiap 365 hari. Langganan dapat dibatalkan kapan saja. Setelah pembatalan, status VIP berlaku hingga akhir periode pembayaran/11"," jours d'essai, puis / tous les 365 jours. L'abonnement peut être résilié à tout moment. Après annulation, statut VIP valable jusqu'à la fin de la période payée/11"," Tage testen, dann / alle 365 Tage. Das Abonnement kann jederzeit gekündigt werden. Nach Abmeldung VIP-Status gültig bis Ende des bezahlten Zeitraums/11", أيام للمحاكمة ، ثم / كل 365 أيام. يمكن إلغاء الاشتراك في أي وقت. بعد الإلغاء ، تكون حالة VIP صالحة حتى نهاية الفترة المدفوعة /11, 天 试用，然后每 365 天 / 。 订阅可以随时取消。 取消后，VIP身份有效期至付费期结束/11," दिन का ट्रायल, फिर हर 365 दिन में / । सदस्यता किसी भी समय रद्द की जा सकती है। रद्दीकरण के बाद, वीआईपी स्थिति भुगतान अवधि के अंत तक मान्य/11", 일 체험 후 365일마다 / 구독은 언제든지 취소할 수 있습니다. 취소 후 VIP 등급은 유료 기간 종료 시까지 유효합니다/11,日間のトライアル、その後 / 365 日ごと。 サブスクリプションはいつでもキャンセルできます。 解約後、有償期間終了までVIPステータス有効/11
170," days trial, then / every 90 days. The subscription can be canceled at any time. After cancellation, VIP status valid until the end of the paid period/11"," дня бесплатно, затем / каждые 90 дней. Подписку можно отменить в любой момент. После отмены, VIP-статус действовует до окончания оплаченного периода/11"," günlük deneme, ardından her 90 günde bir / tahsil edilecektir. Abonelik her an iptal edilebilir. İptal sonrası VIP statüsü ücretli sürenin sonuna kadar geçerlidir/11"," ngày dùng thử, sau đó / cứ sau 90 ngày. Việc đăng ký có thể bị hủy bỏ bất cứ lúc nào. Sau khi hủy, trạng thái VIP có hiệu lực cho đến khi kết thúc thời gian thanh toán/11"," días de prueba, luego / cada 90 días. La suscripción se puede cancelar en cualquier momento. Después de la cancelación, el estado VIP es válido hasta el final del período pagado/11"," dias de teste, então / a cada 90 dias. A assinatura pode ser cancelada a qualquer momento. Após cancelamento, status VIP válido até o final do período pago/11"," giorni di prova, poi / ogni 90 giorni. L'abbonamento può essere annullato in qualsiasi momento. Dopo la cancellazione, stato VIP valido fino alla fine del periodo pagato/11"," hari uji coba, lalu / setiap 90 hari. Langganan dapat dibatalkan kapan saja. Setelah pembatalan, status VIP berlaku hingga akhir periode pembayaran/11"," jours d'essai, puis / tous les 90 jours. L'abonnement peut être résilié à tout moment. Après annulation, statut VIP valable jusqu'à la fin de la période payée/11"," Tage testen, dann / alle 90 Tage. Das Abonnement kann jederzeit gekündigt werden. Nach Abmeldung VIP-Status gültig bis Ende des bezahlten Zeitraums/11", أيام للمحاكمة ، ثم / كل 90 أيام. يمكن إلغاء الاشتراك في أي وقت. بعد الإلغاء ، تكون حالة VIP صالحة حتى نهاية الفترة المدفوعة /11, 天 试用，然后每 90 天 / 。 订阅可以随时取消。 取消后，VIP身份有效期至付费期结束/11," दिन का ट्रायल, फिर हर 90 दिन में / । सदस्यता किसी भी समय रद्द की जा सकती है। रद्दीकरण के बाद, वीआईपी स्थिति भुगतान अवधि के अंत तक मान्य/11", 일 체험 후 90일마다 / 구독은 언제든지 취소할 수 있습니다. 취소 후 VIP 등급은 유료 기간 종료 시까지 유효합니다/11,日間のトライアル、その後 / 90 日ごと。 サブスクリプションはいつでもキャンセルできます。 解約後、有償期間終了までVIPステータス有効/11
171,You pay only once and get all the benefits of VIP status forever/11,Вы заплатите только один раз и получите все преимущества VIP-статуса навсегда/11,Yalnızca bir kez ödersiniz ve VIP statüsünün tüm avantajlarından sonsuza kadar yararlanırsınız/11,Bạn chỉ trả một lần và nhận được tất cả các lợi ích của trạng thái VIP mãi mãi/11,Paga solo una vez y obtiene todos los beneficios del estado VIP para siempre/11,Você paga apenas uma vez e obtém todos os benefícios do status VIP para sempre/11,Paghi solo una volta e ottieni tutti i vantaggi dello stato VIP per sempre/11,Anda hanya membayar sekali dan mendapatkan semua manfaat status VIP selamanya/11,Vous ne payez qu'une seule fois et bénéficiez de tous les avantages du statut VIP pour toujours/11,Sie zahlen nur einmal und erhalten alle Vorteile des VIP-Status für immer/11,أنت تدفع مرة واحدة فقط وتحصل على جميع فوائد حالة VIP إلى الأبد/11,您只付一次，并永远获得VIP状态的所有好处/11,आप केवल एक बार भुगतान करते हैं और VIP दर्जे के सभी लाभ हमेशा के लिए प्राप्त करते हैं/11,당신은 한 번만 지불하고 VIP 상태의 모든 혜택을 영원히 얻습니다/11,あなたは一度だけ支払い、VIPステータスのすべての利点を永遠に取得します/11
172,Trial / days/14,Бесплатно / дня/12,Deneme / Gün/14,/ ngày dùng thử/ 14,Prueba / días /14,/ dias de teste/14,Prova / giorni/14,/ hari uji coba/14,/ jours d'essai/14,/ Tage testen/14,تجربة / أيام/14,试用 / 天 /14,परीक्षण / दिन/14,평가판 / 일/14,試用 / 日/14
173,then ,затем ,ardından ,khi đó ,luego ,então ,poi ,kemudian ,puis ,dann ,ثم ,然后 ,तब ,그 다음에 ,それから 
174,INVITE FRIEND/16,ПРИГЛАСИТЬ ДРУГА/16,ARKADAŞ DAVET/16,MỜI BẠN BÈ/16,INVITAR AMIGO/16,CONVIDAR AMIGO/16,INVITA AMICO/16,UNDANG TEMAN/16,INVITER UN AMI/16,FREUND EINLADEN/16,دعوة صديق/16,邀请朋友/16,मित्र को आमंत्रित करें/16,친구 초대/16,友達を招待する/16
175,Welcome to the game!/Let's do your first favorite puzzle!,Добро пожаловать в игру!/Давайте соберем ваш первый любимый пазл!,Oyuna hoş geldiniz!/Hadi ilk favori bulmacanı yapalım!,Chào mừng bạn đến với trò chơi!/Hãy thực hiện câu đố yêu thích đầu tiên của bạn!,¡Bienvenido al juego!/¡Hagamos tu primer rompecabezas favorito!,Bem-vindo ao jogo!/Vamos montar seu primeiro quebra-cabeça favorito!,Benvenuto nel gioco!/Facciamo il tuo primo puzzle preferito!,Selamat datang di permainan!/Mari kita lakukan teka-teki favorit pertama Anda!,Bienvenue dans le jeu !/Faisons votre premier énigmes préféré !,Willkommen im Spiel!/Lassen Sie uns Ihr erstes Lieblingspuzzle lösen!,مرحبًا بك في اللعبة! / لنقم بأول لغز مفضل لك!,欢迎参加游戏！/让我们做您第一个最喜欢的难题！,खेल में आपका स्वागत है!/चलो अपनी पहली पसंदीदा पहेली करें!,게임에 오신 것을 환영합니다!/첫 번째 가장 좋아하는 퍼즐을 해보자!,ゲームへようこそ！/最初のお気に入りのパズルをしましょう！
176,Press the button to show a sample,"Нажмите на кнопку, чтобы показать образец",Bir örnek göstermek için düğmeye basın,Nhấn nút để xem mẫu,Presione el botón para mostrar una muestra,Pressione o botão para mostrar uma amostra,Premere il pulsante per mostrare un campione,Tekan tombol untuk menampilkan sampel,Appuyez sur le bouton pour afficher un échantillon,"Drücken Sie die Taste, um ein Beispiel anzuzeigen",اضغط على الزر لإظهار عينة,按按钮显示样本,नमूना दिखाने के लिए बटन दबाएं,샘플을 보려면 버튼을 누르세요,ボタンを押してサンプルを表示します
177,Great! Now press this button to leave only elements of puzzle's edges,"Отлично! Теперь нажмите на эту кнопку, чтобы оставить только элементы рамки",Harika! Şimdi sadece bulmacanın kenarlarını göstermek için bu düğmeye basın,Tuyệt vời! Bây giờ nhấn nút này để chỉ để lại các yếu tố của các cạnh của câu đố,¡Excelente! Ahora presione este botón para dejar solo elementos de los bordes del rompecabezas,Ótimo! Agora pressione este botão para deixar apenas elementos das bordas do quebra-cabeça,Grande! Ora premi questo pulsante per lasciare solo elementi dei bordi del puzzle,Hebat! Sekarang tekan tombol ini untuk menyisakan hanya elemen tepi teka-teki,Super! Appuyez maintenant sur ce bouton pour ne laisser que les éléments des bords du énigme,"Toll! Drücken Sie nun diese Taste, um nur Elemente der Puzzleränder zu belassen",عظيم! اضغط الآن على هذا الزر لترك عناصر فقط من حواف اللغز,伟大的！现在按下此按钮只留下难题边缘的元素,महान! अब इस बटन को केवल पहेली के किनारों के तत्वों को दिखाने के लिए दबाएं,탁월한! 이제 이 버튼을 눌러 퍼즐 가장자리의 요소만 남깁니다,素晴らしい！このボタンを押して、パズルのエッジの要素のみを残す
178,Good! Move this element to its place,Здорово! Переместите элемент рамки на его место,Güzel! Bu öğeyi yerine taşıyın,Tốt! Di chuyển yếu tố này đến vị trí của nó,¡Bien! Mover este elemento a su lugar,Bom! Mova este elemento para o seu lugar,Bene! Sposta questo elemento al suo posto,Bagus! Pindahkan elemen ini ke tempatnya,Bien! Déplacez cet élément à sa place,Gut! Verschieben Sie dieses Element an seinen Platz,جيد! انقل هذا العنصر إلى مكانه,好的！将此元素移至它的位置,अच्छा! इस तत्व को अपने स्थान पर ले जाएं,좋은! 이 요소를 해당 위치로 이동,良い！この要素をその場所に移動します
179,The edges is complete! Now press this button to use the hint,"Рамка собрана! Теперь нажмите на эту кнопку, чтобы воспользоваться подсказкой",Kenarlar tamamlandı! Şimdi ipucunu kullanmak için bu düğmeye basın,Các cạnh là hoàn thành! Bây giờ nhấn nút này để sử dụng gợi ý,¡Los bordes están completos! Ahora presione este botón para usar la pista,As bordas estão completas! Agora pressione este botão para usar a dica,I bordi sono completi! Ora premi questo pulsante per utilizzare il suggerimento,Tepi selesai! Sekarang tekan tombol ini untuk menggunakan petunjuknya,"Les bords sont terminés ! Maintenant, appuyez sur ce bouton pour utiliser l'indice","Die Kanten sind fertig! Drücken Sie nun diese Taste, um den Hinweis zu verwenden",الحواف كاملة! اضغط الآن على هذا الزر لاستخدام التلميح,边缘完成！现在按此按钮使用提示,किनारे पूरा हो गया है! अब संकेत का उपयोग करने के लिए इस बटन को दबाएं,가장자리가 완성되었습니다! 이제이 버튼을 눌러 힌트를 사용하십시오,エッジが完成しました！次に、このボタンを押してヒントを使用します
180,Take any element whose position you want to know,Возьмите любой элемент положение которого хотите узнать,Konumunu bilmek istediğiniz herhangi bir unsuru alın,Lấy bất kỳ phần tử nào có vị trí bạn muốn biết,Tome cualquier elemento cuya posición desee saber,Pegue qualquer elemento cuja posição você deseja saber,Prendi qualsiasi elemento di cui vuoi conoscere la posizione,Ambil elemen apa saja yang posisinya ingin Anda ketahui,Prenez n'importe quel élément dont vous voulez connaître la position,"Nehmen Sie ein beliebiges Element, dessen Position Sie wissen möchten",خذ أي عنصر تريد معرفة موقعه,取任何你想知道其位置的元素,कोई भी तत्व लें जिसकी स्थिति आप जानना चाहते हैं,위치를 알고 싶은 요소를 선택하십시오,あなたが知りたい位置を持っている要素を取ります
181,Perfect! Connect the remaining elements to complete the puzzle,"Превосходно! Установите остальные элементы, чтобы завершить сборку",Mükemmel! Parçalı yapbozu tamamlamak için kalan parçaları koy,Hoàn hảo! Kết nối các yếu tố còn lại để hoàn thành câu đố,¡Perfecto! Conecte los elementos restantes para completar el rompecabezas,Perfeito! Conecte os elementos restantes para completar o quebra-cabeça,Perfetto! Collegare gli elementi rimanenti per completare il puzzle,Sempurna! Hubungkan elemen yang tersisa untuk menyelesaikan teka-teki,Parfait! Connectez les éléments restants pour compléter le énigme,"Perfekt! Verbinde die restlichen Elemente, um das Puzzle zu vervollständigen",ممتاز! قم بتوصيل العناصر المتبقية لإكمال اللغز,完美的！连接其余元素以完成难题,उत्तम! पहेली को पूरा करने के लिए शेष तत्वों को कनेक्ट करें,완벽한! 나머지 요소를 연결하여 퍼즐을 완성하십시오,完全！残りの要素を接続して、パズルを完成させます
182,10% bonus,10% бонус,% 10 bonus,thưởng 10%,bono 10%,10% bônus,10% bonus,bonus 10%,10% prime,10% Prämie,10 ٪ مكافأة,10％奖金,10% बोनस,10% 보너스,10％おまけ
183,20% bonus,20% бонус,% 20 bonus,thưởng 20%,bono 20%,20% bônus,20% bonus,bonus 20%,20% prime,20% Prämie,20 ٪ مكافأة,20％奖金,20% बोनस,20% 보너스,20％おまけ
184,20% profit,20% выгода,% 20 yarar,lợi ích 20%,ventaja 20%,20% benefício,20% beneficio,manfaat 20%,20% avantage,20% Nutzen,فائدة ٪ 20,20％益处,20% फ़ायदा,20% 이익,20％利益
185,40% bonus,40% бонус,% 40 bonus,thưởng 40%,bono 40%,40% bônus,40% bonus,bonus 40%,40% prime,40% Prämie,40 ٪ مكافأة,40％奖金,40% बोनस,40% 보너스,40％おまけ
186,40% profit,40% выгода,% 40 yarar,lợi ích 40%,ventaja 40%,40% benefício,40% beneficio,manfaat 40%,40% avantage,40% Nutzen,فائدة ٪ 40,40％益处,40% फ़ायदा,40% 이익,40％利益
187,30% bonus,30% бонус,% 30 bonus,thưởng 30%,bono 30%,30% bônus,30% bonus,bonus 30%,30% prime,30% Prämie,مكافأة 30 ٪,30％奖金,30% बोनस,30% 보너스,30％おまけ
188,50% bonus,50% бонус,% 50 bonus,thưởng 50%,bono 50%,50% bônus,50% bonus,bonus 50%,50% prime,50% Prämie,مكافأة 50 ٪,50％奖金,50% बोनस,50% 보너스,50％おまけ
189,50% profit,50% выгода,% 50 yarar,lợi ích 50%,ventaja 50%,50% benefício,50% beneficio,manfaat 50%,50% avantage,50% Nutzen,فائدة ٪ 50,50％益处,50% फ़ायदा,50% 이익,50％利益
190,Popular,Популярно,Popüler,Phổ biến,Popular,Popular,Popolare,Populer,Populaire,Beliebt,عنصر شعبي,受欢迎的,लोकप्रिय,인기 있는,人気
191,CANCEL/14,ОТМЕНИТЬ/14,İPTAL/14,HỦY/14,CANCELAR/14,CANCELAR/14,ANNULLA/14,BATAL/14,ANNULER/14,ABBRECHEN/14,إلغاء/14,取消/14,रद्द करें/14,취소/14,キャンセル/14
192,RENEW/14,ВОЗОБНОВИТЬ/14,ABONELİĞE/14,GIA HẠN/14,RENOVAR/14,RENOVAÇÃO/14,RINNOVARE/14,LANJUTKAN/14,RENOUVELER/14,ERNEUERN/14,تجديد اشتراكك/14,续订/14,नवीनीकरण/14,갱신/14,継続する/14
193,Shop,Магазин,Mağaza,Cửa hàng,Tienda,Loja,Negozio,Toko,Magasin,Käufe,تسوق,店铺,दुकान,가게,ショップ
194,Image Source,Источник изображений,Görüntü Kaynağı,Nguồn hình ảnh,Fuente de imagen,Fonte da imagem,Fonte immagine,Sumber Gambar,Source des images,Bildquellen,مصدر الصورة,图片来源,छवि स्रोत,이미지 출처,画像ソース
195,Orientation,Ориентация,Oryantasyon,Định hướng,Orientación,Orientação,Orientamento,Orientasi,Orientation,Orientierung,توجه,取向,अभिविन्यास,정위,オリエンテーション
196,Not available in this category./Please choose a different category/20,"Недоступно в этой категории./Пожалуйста, выберите другую категорию/20",Bu kategoride mevcut değil./Lütfen farklı bir kategori seçin/20,Không có sẵn trong danh mục này./Vui lòng chọn một danh mục khác/20,No disponible en esta categoría./Por favor elige una categoría diferente/20,Não disponível nesta categoria./Escolha uma categoria diferente/20,Non disponibile in questa categoria./Si prega di scegliere una categoria diversa/20,Tidak tersedia dalam kategori ini./Silakan pilih kategori yang berbeda/20,Non disponible dans cette catégorie./Veuillez choisir une autre catégorie/20,In dieser Kategorie nicht verfügbar./Bitte wählen Sie eine andere Kategorie/20,غير متوفر في هذه الفئة./الرجاء اختيار فئة مختلفة/20,在此类别中不可用。/请选择其他类别/20,इस श्रेणी में उपलब्ध नहीं है।/कृपया कोई भिन्न श्रेणी चुनें/20,이 카테고리에서는 사용할 수 없습니다./다른 카테고리를 선택하세요./20,このカテゴリでは利用できません。/別のカテゴリを選択してください/20
197,Enter page number:/24,Введите номер страницы:/24,Sayfa numarasını girin:/24,Nhập số trang:/24,Ingrese el número de página:/24,Digite o número da página:/24,Inserisci il numero di pagina:/24,Masukkan nomor halaman:/24,Entrez le numéro de page:/24,Geben Sie die Seitenzahl ein:/24,أدخل رقم الصفحة:/24,输入页码：/24,पृष्ठ संख्या दर्ज करें:/24,페이지 번호 입력:/24,ページ番号を入力:/24
198,Filter,Фильтр,Filtre,Lọc,Filtrar,Filtro,Filtro,Saring,Filtre,Filter,منقي,筛选,फ़िल्टर,필터,フィルタ
